Index,Plant_name,scientific_name,class ,order,description,advantages,disadvantages,,Url
0,Alpinia Galanga (Rasna),Alpinia galanga,Magnoliopsida (Dicots), Zingiberales,"Alpinia galanga, commonly known as Greater Galangal, is a rhizomatous plant native to Southeast Asia. It is widely used in traditional medicine and as a spice in cooking. The plant is aromatic, with its rhizomes having a pungent flavor, often compared to ginger. It has anti-inflammatory, antimicrobial, and digestive properties."," Used to reduce inflammation, making it helpful for conditions like arthritis.",Some individuals may experience allergic reactions such as skin irritation or respiratory discomfort.,,https://www.archanaskitchen.com/images/Rasna_Alpinia_Galanga_Ayurdevic_Medicinal_Plant_3.jpg
1,Amaranthus Viridis (Arive-Dantu),Amaranthus viridis,Magnoliopsida (Dicots),Caryophyllales,"Commonly known as Green Amaranth, this herbaceous plant is a fast-growing leafy vegetable and weed found in tropical and subtropical regions. It is rich in iron, calcium, and vitamins. The leaves are used in traditional cooking and for treating digestive issues, fever, and inflammation.","Known for being a good plant-based protein source, especially beneficial for vegetarians and vegans.","May accumulate nitrates from the soil, especially if grown in contaminated areas, which can convert into harmful nitrites in the body",,https://tse2.mm.bing.net/th?id=OIP.gQUugT0P9khBK9Ltq2ZU-wHaHa&pid=Api&P=0&h=180
2,Artocarpus Heterophyllus (Jackfruit),Artocarpus heterophyllus,Magnoliopsida (Dicots),Rosales,"Jackfruit is the largest tree-borne fruit, native to South Asia. The tree is evergreen and produces sweet, fibrous, and starchy fruits consumed fresh or cooked. Jackfruit seeds are also edible and nutritious. The tree is valued for its timber, and its leaves are used as fodder.","Despite its sweetness, jackfruit is relatively low in calories, making it suitable for healthy diets.","Some individuals may be allergic to jackfruit, experiencing symptoms such as itching, swelling, or breathing difficulties",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkFQQAcxTILgwCTMb_x9OhFGheU4kLc86_fA&s
3,Azadirachta Indica (Neem),Azadirachta indica,Magnoliopsida (Dicots),Sapindales,"Neem is a fast-growing, evergreen tree native to the Indian subcontinent. It is highly regarded in Ayurveda for its antifungal, antibacterial, and anti-inflammatory properties. Neem leaves, bark, seeds, and oil are used for medicinal, agricultural, and cosmetic purposes.","Neem supports the immune system, helping the body fight off infections and diseases.","Overconsumption of neem leaves or products may cause stomach upset, nausea, or diarrhea.",,https://www.cifor.org/wp-content/uploads/2021/04/Azadirachta-indica.png
4,Basella Alba (Basale), Basella alba,Magnoliopsida (Dicots),Caryophyllales,"Known as Malabar Spinach, this vine is a fast-growing perennial found in tropical Asia and Africa. Its leaves are rich in vitamins A and C and are used in soups and curries. The plant has cooling and laxative properties.","Improves digestion, prevents constipation, and supports gut health.","Excessive consumption may lead to bloating, gas, or mild stomach upset due to its high fiber content.",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Basella_alba_leaves_27052014.jpg/220px-Basella_alba_leaves_27052014.jpg
5,Brassica Juncea (Indian Mustard),Brassica juncea,Magnoliopsida (Dicots),Brassicales,"Indian Mustard is cultivated for its seeds, which are used to produce mustard oil and condiments. The leaves are consumed as a green vegetable. It has anti-inflammatory properties and is used in traditional medicine for rheumatism and colds.","Mustard seeds can boost metabolism, aiding in fat burning and weight management",Mustard oil should be used cautiously during pregnancy. It has been associated with potential toxicity and may cause harm to the fetus in large quantities.,,https://organicbazar.net/cdn/shop/files/Untitled-design-2022-06-05T114137.128.jpg?v=1724911156
6,Carissa Carandas (Karanda),Carissa carandas,Magnoliopsida (Dicots), Gentianales,"Karanda is a shrub that bears small, tangy fruits used in pickles and jams. It is a drought-resistant plant with high medicinal value, including antidiabetic and antioxidant properties.","Rich in vitamin C, iron, and antioxidants, it helps boost immunity and prevent diseases.","The plant has sharp thorns, which can make harvesting and handling difficult.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTW4iaNnHlUuSsi9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2U3NmJhNTMxNTczYzQxNjJhYTJhMzgyYjA5ZjY1MTA5BGdwb3MDMgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCarissa%2BCarandas%2B%2528Karanda%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D2&w=1200&h=900&imgurl=http2.mlstatic.com%2Fcarissa-carandas-karanda-sementes-fruta-para-mudas-e-bonsai-D_NQ_NP_359311-MLB20536579929_012016-F.jpg&rurl=https%3A%2F%2Fproduto.mercadolivre.com.br%2FMLB-732848186-carissa-carandas-karanda-sementes-fruta-para-mudas-e-bonsai-_JM&size=161KB&p=Carissa+Carandas+%28Karanda%29&oid=e76ba531573c4162aa2a382b09f65109&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Carissa+Carandas+Karanda+Sementes+Fruta+Para+Mudas+E+Bonsai+-+R%24+20%2C01+...&b=0&ni=160&no=2&ts=&tab=organic&sigr=27EWtjuuqKuO&sigb=Kfz.TM_aXpVx&sigi=sevMiuMM11SJ&sigt=hdFZ7jk3iEUl&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
7,Citrus Limon (Lemon),Citrus limon,Magnoliopsida (Dicots), Sapindales,"Lemon is a small evergreen tree cultivated for its sour fruits. Lemons are rich in vitamin C and are widely used in culinary applications, cleaning products, and traditional medicine to treat scurvy and colds.","High in vitamin C, supporting immunity and skin health.",Excessive consumption can lead to acid reflux or worsen conditions like GERD (gastroesophageal reflux disease).,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTXOiaNniikuwOG9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2RjZjBlMDYyNzA3NzkwYWJjOTU5M2ExOWUyZWRhZDUwBGdwb3MDMgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCitrus%2BLimon%2B%2528Lemon%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D2&w=1280&h=960&imgurl=upload.wikimedia.org%2Fwikipedia%2Fcommons%2Fe%2Fe4%2FP1030323.JPG&rurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLemon&size=362KB&p=Citrus+Limon+%28Lemon%29&oid=dcf0e062707790abc9593a19e2edad50&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Lemon+-+Wikipedia&b=0&ni=160&no=2&ts=&tab=organic&sigr=HH2uqLbdTHCV&sigb=vWwYNoMKJVpI&sigi=6iQN0p0jGp2e&sigt=yjhfbFqZeNsq&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
8,Ficus Auriculata (Roxburgh fig),Ficus auriculata,Magnoliopsida (Dicots),Rosales,This deciduous tree is known for its large leaves and edible fruits. The fruits are consumed fresh or dried and are used to treat gastrointestinal disorders. The tree is also valued for soil conservation.,"The fruit is rich in dietary fiber, vitamins, and minerals, supporting digestive health and overall nutrition.","In some areas, the tree might grow aggressively, competing with other vegetation and potentially becoming invasive.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTXkiaNnwaovIy.9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzNkMTdlNDU3ZWU2YzljYjFmY2MwZTRiOTEyN2YyMjE3BGdwb3MDMTMEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DFicus%2BAuriculata%2B%2528Roxburgh%2Bfig%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D13&w=1300&h=1334&imgurl=www.alamy.com%2Faggregator-api%2Fdownload%3Furl%3Dhttps%3A%2F%2Fc8.alamy.com%2Fcomp%2F2JPT0B5%2Fficus-auriculata-roxburgh-fig-close-up-of-fruits-on-a-tree-2JPT0B5.jpg&rurl=https%3A%2F%2Fwww.alamy.com%2Fficus-auriculata-roxburgh-fig-close-up-of-fruits-on-a-tree-image478729529.html&size=232KB&p=Ficus+Auriculata+%28Roxburgh+fig%29&oid=3d17e457ee6c9cb1fcc0e4b9127f2217&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Ficus+auriculata%2C+Roxburgh+Fig+close+up+of+fruits+on+a+tree+Stock+Photo+...&b=0&ni=160&no=13&ts=&tab=organic&sigr=WAniqi091M.5&sigb=vwMN3cAxUNUJ&sigi=jOHPy6bn1LgN&sigt=muww12C2Ip1b&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
9,Ficus Religiosa (Peepal Tree), Ficus religiosa,Magnoliopsida (Dicots), Rosales,"Revered in many cultures, the Peepal Tree is a large, long-living tree with heart-shaped leaves. It plays a role in traditional medicine for treating asthma, diabetes, and skin diseases.","The Peepal tree releases oxygen 24/7, making it highly beneficial for air quality.","Its roots can grow into building foundations, walls, and pipelines, causing structural damage.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTUFiqNnxigvDmm9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzgzYzJkMmViNThkYmM4ZTQ2ODdjNzM1NzgzMmNlMWRhBGdwb3MDNgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DFicus%2BReligiosa%2B%2528Peepal%2BTree%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D6&w=600&h=600&imgurl=econutplants.com%2Fwp-content%2Fuploads%2F2021%2F04%2Fpeepal-tree.jpg&rurl=https%3A%2F%2Feconutplants.com%2Fproduct%2Fpeepal-tree-ficus-religiosa-sacred-fig-plant&size=76KB&p=Ficus+Religiosa+%28Peepal+Tree%29&oid=83c2d2eb58dbc8e4687c7357832ce1da&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Buy+Peepal+Tree+%28Ficus+Religiosa%29+in+India+from+Econut+Plants&b=0&ni=160&no=6&ts=&tab=organic&sigr=IbxldhzYmuYd&sigb=3sh5lsv2SfPD&sigi=OGaTt54r.PBS&sigt=B2S9mzbvFMlm&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
